Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
6,2025-10-04,Atalanta,Como,1 - 1,1.2779,0.9628,0,0,0,0,4,4,51,49,16,12,8,3
6,2025-10-05,Bologna,Pisa,4 - 0,3.1129000000000002,0.0416,0,1,0,0,7,0,71,29,24,2,2,2
6,2025-10-05,Fiorentina,Roma,1 - 2,1.0316,1.6297,0,0,0,0,3,3,45,55,11,8,3,4
6,2025-10-03,Hellas Verona,Sassuolo,0 - 1,1.2174,2.1351999999999998,0,0,0,1,9,3,58,42,17,11,4,2
6,2025-10-04,Inter,Cremonese,4 - 1,2.7173,0.6252,0,0,0,0,9,2,66,34,27,3,13,1
6,2025-10-05,Juventus,AC Milan,0 - 0,1.0828,1.9618,0,0,0,1,3,4,51,49,12,13,6,0
6,2025-10-04,Lazio,Torino,3 - 3,1.4456,1.6597000000000002,0,0,1,0,4,8,49,51,9,16,3,5
6,2025-10-05,Napoli,Genoa,2 - 1,1.7045,0.6094999999999999,0,0,0,0,5,1,69,31,12,6,7,5
6,2025-10-04,Parma,Lecce,0 - 1,0.6771,0.6159000000000001,0,0,0,0,2,3,63,37,10,7,4,9
6,2025-10-05,Udinese,Cagliari,1 - 1,2.8663,0.8844,0,0,0,0,4,2,60,40,23,8,7,2
7,2025-10-19,AC Milan,Fiorentina,2 - 1,2.159,1.1049,0,0,1,0,4,1,56,44,14,5,1,3
7,2025-10-19,Atalanta,Lazio,0 - 0,2.3842,0.33440000000000003,0,0,0,0,6,1,58,42,16,4,7,1
7,2025-10-19,Cagliari,Bologna,0 - 2,0.1716,0.8694,0,0,0,0,3,7,42,58,4,10,2,7
7,2025-10-19,Como,Juventus,2 - 0,1.3346,1.1732,0,0,0,0,6,3,45,55,12,15,4,1
7,2025-10-20,Cremonese,Udinese,1 - 1,0.9887999999999999,0.9773,0,0,0,0,4,1,52,48,11,8,5,4
7,2025-10-19,Genoa,Parma,0 - 0,2.2161,0.0637,0,1,1,0,7,0,69,31,23,1,3,0
7,2025-10-18,Lecce,Sassuolo,0 - 0,0.9504,0.4084,0,0,0,0,2,2,52,48,11,9,6,4
7,2025-10-18,Pisa,Hellas Verona,0 - 0,0.6872,1.2843000000000002,0,0,0,0,0,3,60,40,7,15,3,8
7,2025-10-18,Roma,Inter,0 - 1,1.4298,1.0879999999999999,0,0,0,0,5,3,57,43,15,12,4,5
7,2025-10-18,Torino,Napoli,1 - 0,1.6757,2.089,0,0,0,0,2,5,31,69,12,22,3,11
8,2025-10-24,AC Milan,Pisa,2 - 2,1.6635,1.1434,0,0,0,1,7,2,68,32,20,8,6,2
8,2025-10-25,Cremonese,Atalanta,1 - 1,1.0499,1.9162,0,0,0,0,5,6,35,65,9,20,2,10
8,2025-10-26,Fiorentina,Bologna,2 - 2,3.5961,0.8167,0,1,2,0,7,3,50,50,19,6,5,6
8,2025-10-26,Hellas Verona,Cagliari,2 - 2,1.5139,0.3922,0,0,0,0,6,3,37,63,10,7,3,2
8,2025-10-26,Lazio,Juventus,1 - 0,1.1495,1.5872,0,0,0,0,3,5,40,60,13,14,2,5
8,2025-10-25,Napoli,Inter,3 - 1,1.3872,1.8196999999999999,0,0,1,1,3,3,43,57,7,15,1,4
8,2025-10-25,Parma,Como,0 - 0,0.6756,0.6817,0,0,0,0,3,2,29,71,10,6,3,3
8,2025-10-26,Sassuolo,Roma,0 - 1,0.9702,1.2798,0,0,0,0,1,8,41,59,11,15,6,6
8,2025-10-26,Torino,Genoa,2 - 1,1.6182,1.6335,0,0,0,0,6,3,59,41,13,11,9,1
8,2025-10-25,Udinese,Lecce,3 - 2,1.0809,0.47409999999999997,0,0,0,0,4,3,44,56,8,13,4,9
9,2025-10-28,Atalanta,AC Milan,1 - 1,1.7561,0.4567,0,0,0,0,3,1,56,44,17,6,9,4
9,2025-10-29,Bologna,Torino,0 - 0,0.5152,0.7116,0,0,0,0,2,2,71,29,11,8,3,3
9,2025-10-30,Cagliari,Sassuolo,1 - 2,0.9042,0.7061,0,0,0,0,1,4,46,54,8,12,3,7
9,2025-10-29,Como,Hellas Verona,3 - 1,1.171,1.4409,0,0,0,0,5,9,71,29,15,13,1,3
9,2025-10-29,Genoa,Cremonese,0 - 2,1.8539,1.6901000000000002,0,0,0,0,1,4,54,46,16,11,7,3
9,2025-10-29,Inter,Fiorentina,3 - 0,2.9443,1.0009,0,1,1,0,8,2,64,36,22,10,8,5
9,2025-10-29,Juventus,Udinese,3 - 1,3.6497,0.6746,0,0,2,0,11,2,57,43,25,8,8,4
9,2025-10-28,Lecce,Napoli,0 - 1,1.2232,1.0188000000000001,0,0,1,0,2,3,41,59,7,14,3,5
9,2025-10-30,Pisa,Lazio,0 - 0,0.9341,0.6172,0,0,0,0,2,6,39,61,10,11,3,1
9,2025-10-29,Roma,Parma,2 - 1,1.0069,0.9064,0,0,0,0,6,5,60,40,18,8,9,2
10,2025-11-02,AC Milan,Roma,1 - 0,3.3305,2.3066,0,0,0,1,8,6,37,63,17,20,7,8
10,2025-11-01,Cremonese,Juventus,1 - 2,0.6061,1.8695000000000002,0,0,0,0,2,5,51,49,9,15,2,3
10,2025-11-02,Fiorentina,Lecce,0 - 1,1.2678,0.9212,0,0,0,0,4,4,63,37,15,11,4,4
10,2025-11-02,Hellas Verona,Inter,1 - 2,0.579,1.0652,0,0,0,0,2,6,27,73,8,21,4,8
10,2025-11-03,Lazio,Cagliari,2 - 0,1.0386,1.5628000000000002,0,0,0,0,3,5,51,49,8,17,7,5
10,2025-11-01,Napoli,Como,0 - 0,0.6679,1.2675,0,0,0,1,8,2,45,55,13,13,4,2
10,2025-11-02,Parma,Bologna,1 - 3,0.34650000000000003,2.9643,1,0,0,0,1,6,35,65,7,22,1,5
10,2025-11-03,Sassuolo,Genoa,1 - 2,1.146,1.5209000000000001,0,0,0,0,4,5,61,39,13,16,3,7
10,2025-11-02,Torino,Pisa,2 - 2,1.3641,1.8521,0,0,0,1,3,3,64,36,15,11,4,2
10,2025-11-01,Udinese,Atalanta,1 - 0,0.6439,0.5666,0,0,0,0,5,0,40,60,11,5,5,4
11,2025-11-09,Atalanta,Sassuolo,0 - 3,1.3574000000000002,2.0606,0,0,0,1,2,4,68,32,14,8,4,1
11,2025-11-09,Bologna,Napoli,2 - 0,0.9296,0.22499999999999998,0,0,0,0,4,1,41,59,11,4,5,4
11,2025-11-08,Como,Cagliari,0 - 0,0.8672,0.8226,0,0,0,0,6,2,75,25,10,4,10,0
11,2025-11-09,Genoa,Fiorentina,2 - 2,1.6272000000000002,1.4028,0,0,1,1,6,3,41,59,10,7,3,7
11,2025-11-09,Inter,Lazio,2 - 0,1.893,0.5182,0,0,0,0,3,5,54,46,8,8,3,1
11,2025-11-08,Juventus,Torino,0 - 0,1.4444,0.8636999999999999,0,0,0,0,6,3,72,28,22,8,6,2
11,2025-11-08,Lecce,Hellas Verona,0 - 0,0.8613,0.8463,0,0,0,0,6,2,59,41,11,5,7,2
11,2025-11-08,Parma,AC Milan,2 - 2,1.4092,1.8282000000000003,0,0,0,1,4,5,43,57,14,9,4,3
11,2025-11-07,Pisa,Cremonese,1 - 0,1.2008,0.9680000000000001,0,0,0,0,6,3,38,62,13,13,4,5
11,2025-11-09,Roma,Udinese,2 - 0,1.8932,1.0377,0,0,1,0,4,4,58,42,13,10,3,4
12,2025-11-22,Cagliari,Genoa,3 - 3,1.0733,1.1105,0,1,0,0,5,8,50,50,11,13,6,2
12,2025-11-23,Cremonese,Roma,1 - 3,0.9730000000000001,1.3259,0,0,0,0,4,6,50,50,9,12,3,5
12,2025-11-22,Fiorentina,Juventus,1 - 1,0.8647,1.4876,0,0,0,0,2,4,41,59,11,17,7,3
12,2025-11-23,Hellas Verona,Parma,1 - 2,0.8717,1.2471,0,0,0,0,2,7,59,41,10,15,4,4
12,2025-11-23,Inter,AC Milan,0 - 1,1.9376,0.7763,0,0,1,0,6,3,64,36,20,7,9,1
12,2025-11-23,Lazio,Lecce,2 - 0,1.6146,0.5012,0,0,0,0,9,1,67,33,19,5,8,2
12,2025-11-22,Napoli,Atalanta,3 - 1,1.8431000000000002,0.9740000000000001,0,0,0,0,6,3,45,55,11,14,5,3
12,2025-11-24,Sassuolo,Pisa,2 - 2,2.4083,1.6287,0,0,0,1,7,3,63,37,22,10,5,2
12,2025-11-24,Torino,Como,1 - 5,1.5048,2.3443,0,0,1,0,2,7,35,65,10,15,3,4
12,2025-11-22,Udinese,Bologna,0 - 3,1.6351,2.6233,0,0,0,1,3,5,47,53,12,10,7,2
13,2025-11-29,AC Milan,Lazio,1 - 0,1.3317,0.8371000000000001,0,0,0,0,4,4,46,54,16,9,1,4
13,2025-11-30,Atalanta,Fiorentina,2 - 0,2.2831,1.8109,0,0,0,0,9,3,48,52,21,15,4,5
13,2025-12-01,Bologna,Cremonese,1 - 3,3.096,1.536,0,0,1,0,7,5,65,35,29,10,13,8
13,2025-11-28,Como,Sassuolo,2 - 0,1.401,0.7782000000000001,0,0,0,0,13,5,63,37,18,12,4,4
13,2025-11-29,Genoa,Hellas Verona,2 - 1,1.7949000000000002,2.8384,0,0,0,0,4,5,60,40,15,13,2,3
13,2025-11-29,Juventus,Cagliari,2 - 1,1.4278,0.8243,0,0,0,0,6,3,57,43,14,5,1,6
