Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
6,2025-09-28,Metz,Le Havre,0 - 0,0.5862999999999999,0.3961,0,0,0,0,0,2,53,47,7,10,4,6
6,2025-09-28,Nice,Paris,1 - 1,0.8741,2.0959000000000003,0,0,0,1,5,3,44,56,11,13,5,5
6,2025-09-27,Paris Saint Germain,Auxerre,2 - 0,1.446,0.7332000000000001,0,0,0,0,8,3,66,34,15,12,5,5
6,2025-09-28,Rennes,Lens,0 - 0,1.2574999999999998,1.3441999999999998,0,1,0,0,2,2,67,33,14,13,8,4
6,2025-09-26,Strasbourg,Olympique Marseille,1 - 2,1.0532,1.7446000000000002,0,0,0,0,1,9,40,60,9,16,5,4
6,2025-09-27,Toulouse,Nantes,2 - 2,2.2662999999999998,1.4473,0,0,1,0,7,2,46,54,20,12,1,4
7,2025-10-04,Auxerre,Lens,1 - 2,1.5542,0.6134,0,1,0,0,2,4,57,43,18,7,2,2
7,2025-10-04,Brest,Nantes,0 - 0,1.428,0.354,0,0,0,0,5,0,51,49,17,6,12,3
7,2025-10-05,LOSC Lille,Paris Saint Germain,1 - 1,0.8641000000000001,1.4222000000000001,0,0,0,0,3,5,38,62,9,17,3,5
7,2025-10-05,Le Havre,Rennes,2 - 2,1.7349,0.8729,0,0,1,0,2,3,43,57,10,9,3,4
7,2025-10-04,Metz,Olympique Marseille,0 - 3,0.19060000000000002,2.7352,0,0,0,0,1,9,38,62,4,21,4,4
7,2025-10-05,Monaco,Nice,2 - 2,3.3168,1.1956000000000002,0,1,2,1,6,2,66,34,20,9,6,7
7,2025-10-05,Olympique Lyonnais,Toulouse,1 - 2,1.0436,1.398,0,0,0,0,3,3,69,31,13,14,8,5
7,2025-10-03,Paris,Lorient,2 - 0,1.492,0.7176,0,0,0,0,2,3,59,41,10,8,1,5
7,2025-10-05,Strasbourg,Angers SCO,5 - 0,2.7318999999999996,0.43789999999999996,0,0,0,0,12,1,66,34,18,5,2,5
8,2025-10-18,Angers SCO,Monaco,1 - 1,2.0965,1.3428,0,0,0,0,3,4,42,58,16,11,10,3
8,2025-10-19,Lens,Paris,2 - 1,1.7236,0.9865999999999999,0,0,0,0,3,3,43,57,11,9,11,3
8,2025-10-19,Lorient,Brest,3 - 3,1.3796,1.5834000000000001,0,0,0,1,7,4,50,50,12,8,5,2
8,2025-10-19,Nantes,LOSC Lille,0 - 2,0.69,3.1658999999999997,0,0,0,0,3,5,37,63,8,23,5,9
8,2025-10-18,Nice,Olympique Lyonnais,3 - 2,1.2589000000000001,3.6872000000000003,0,0,0,1,4,7,31,69,5,29,1,16
8,2025-10-18,Olympique Marseille,Le Havre,6 - 2,3.2308,0.4184,0,1,1,0,11,3,74,26,18,8,2,1
8,2025-10-17,Paris Saint Germain,Strasbourg,3 - 3,2.6279000000000003,1.7809,0,0,1,0,9,7,71,29,21,12,4,1
8,2025-10-19,Rennes,Auxerre,2 - 2,2.0875,1.2690000000000001,0,0,0,1,7,4,52,48,19,7,6,2
8,2025-10-19,Toulouse,Metz,4 - 0,2.8037,0.1781,0,1,1,0,7,2,36,64,16,2,5,1
9,2025-10-26,Angers SCO,Lorient,2 - 0,0.9285,2.1279999999999997,0,0,0,1,4,4,37,63,7,23,1,6
9,2025-10-26,Auxerre,Le Havre,0 - 1,1.0243,0.9505,0,0,0,0,3,4,51,49,14,9,13,5
9,2025-10-25,Brest,Paris Saint Germain,0 - 3,1.5934,1.8264,0,0,1,0,2,8,25,75,8,18,2,7
9,2025-10-26,LOSC Lille,Metz,6 - 1,2.444,1.1908999999999998,0,0,0,0,12,4,62,38,23,10,7,8
9,2025-10-25,Lens,Olympique Marseille,2 - 1,1.5466,0.8990999999999999,0,0,1,0,5,3,31,69,8,17,4,8
9,2025-10-25,Monaco,Toulouse,1 - 0,2.9258,0.8598,0,0,0,0,5,2,54,46,14,10,2,5
9,2025-10-26,Olympique Lyonnais,Strasbourg,2 - 1,1.5718,0.6228,0,1,1,0,3,2,48,52,8,7,4,2
9,2025-10-24,Paris,Nantes,1 - 2,1.0725,0.8508,0,0,0,0,3,3,68,32,14,11,8,2
9,2025-10-26,Rennes,Nice,1 - 2,1.7458,0.42330000000000007,0,0,0,0,7,3,58,42,19,8,7,3
10,2025-10-29,Le Havre,Brest,1 - 0,0.9123,0.5174,0,0,0,0,3,2,46,54,13,8,5,1
10,2025-10-29,Lorient,Paris Saint Germain,1 - 1,0.2281,1.2772999999999999,0,0,0,0,2,8,22,78,5,15,0,8
10,2025-10-29,Metz,Lens,2 - 0,2.918,1.2432999999999998,1,0,1,0,7,2,46,54,16,10,2,5
10,2025-10-29,Nantes,Monaco,3 - 5,2.12,3.0774,0,0,0,0,5,9,48,52,18,19,1,3
10,2025-10-29,Nice,LOSC Lille,2 - 0,1.3303000000000003,1.267,0,0,1,0,4,4,32,68,8,21,2,13
10,2025-10-29,Olympique Marseille,Angers SCO,2 - 2,1.4535,0.8786999999999999,0,0,0,0,6,6,59,41,11,12,1,5
10,2025-10-29,Paris,Olympique Lyonnais,3 - 3,0.7098,1.2882,1,1,0,0,3,4,52,48,11,7,4,2
10,2025-10-29,Strasbourg,Auxerre,3 - 0,3.5542,0.6132000000000001,0,0,0,0,9,1,64,36,18,6,4,3
10,2025-10-29,Toulouse,Rennes,2 - 2,1.7837,0.9741000000000001,0,0,1,0,4,5,55,45,15,11,5,8
11,2025-11-01,Auxerre,Olympique Marseille,0 - 1,0.8281,0.5933,1,1,0,0,4,2,49,51,9,6,3,3
11,2025-11-02,Brest,Olympique Lyonnais,0 - 0,1.4451,0.1842,0,1,0,0,3,2,50,50,13,4,12,2
11,2025-11-02,LOSC Lille,Angers SCO,1 - 0,2.1628999999999996,0.3468,0,0,0,0,4,1,54,46,15,6,9,2
11,2025-11-02,Lens,Lorient,3 - 0,2.1638,2.0981,0,0,0,1,6,3,58,42,9,12,7,6
11,2025-11-01,Monaco,Paris,0 - 1,0.8632,1.0469,0,0,0,0,1,1,55,45,10,9,3,2
11,2025-11-02,Nantes,Metz,0 - 2,1.0851,0.9287000000000001,0,0,0,0,4,7,52,48,16,14,8,5
11,2025-11-01,Paris Saint Germain,Nice,1 - 0,2.0545999999999998,0.5441,0,0,0,0,8,2,77,23,28,5,11,1
11,2025-11-02,Rennes,Strasbourg,4 - 1,2.3678,1.6308,0,0,0,0,6,2,41,59,13,20,6,5
11,2025-11-02,Toulouse,Le Havre,0 - 0,1.7264,0.8568,0,0,0,0,2,3,46,54,18,9,10,2
12,2025-11-09,Angers SCO,Auxerre,2 - 0,1.0849,0.9679,0,0,0,0,5,5,49,51,9,12,3,3
12,2025-11-08,Le Havre,Nantes,1 - 1,1.3897,0.16149999999999998,0,0,0,0,4,2,65,35,17,5,8,3
12,2025-11-09,Lorient,Toulouse,1 - 1,1.3485,1.4117,0,0,1,1,2,2,50,50,10,6,6,4
12,2025-11-09,Metz,Nice,2 - 1,1.5126,1.1838000000000002,0,0,1,0,2,4,49,51,9,11,6,3
12,2025-11-08,Monaco,Lens,1 - 4,2.8801,2.6783000000000006,1,0,2,0,6,12,50,50,16,20,5,4
12,2025-11-09,Olympique Lyonnais,Paris Saint Germain,2 - 3,0.766,0.9336,1,0,0,0,2,4,28,72,9,9,5,5
12,2025-11-08,Olympique Marseille,Brest,3 - 0,3.0491,0.3214,0,0,1,0,7,2,64,36,19,4,6,2
12,2025-11-07,Paris,Rennes,0 - 1,2.2767,0.9551000000000001,0,0,0,0,4,3,52,48,20,10,8,9
12,2025-11-09,Strasbourg,LOSC Lille,2 - 0,0.4067,0.2623,0,1,0,0,2,4,42,58,5,6,1,4
13,2025-11-23,Auxerre,Olympique Lyonnais,0 - 0,2.1688,1.2101,0,0,1,0,5,7,30,70,12,16,7,11
13,2025-11-23,Brest,Metz,3 - 2,3.1491000000000002,0.9577,0,0,2,0,7,3,56,44,20,7,6,2
13,2025-11-23,LOSC Lille,Paris,4 - 2,3.7292000000000005,0.9311,0,0,2,0,10,3,52,48,17,6,9,4
13,2025-11-22,Lens,Strasbourg,1 - 0,1.8102,0.5368,1,1,0,0,5,1,55,45,13,7,3,1
13,2025-11-23,Nantes,Lorient,1 - 1,1.0106,0.4869,0,0,0,0,1,1,56,44,9,7,1,1
13,2025-11-21,Nice,Olympique Marseille,1 - 5,1.1459,2.2868,0,0,0,0,7,11,53,47,15,13,8,6
13,2025-11-22,Paris Saint Germain,Le Havre,3 - 0,4.3108,1.5772,0,0,0,0,11,4,65,35,31,12,6,4
13,2025-11-22,Rennes,Monaco,4 - 1,2.6705,1.3961999999999999,0,1,1,0,9,3,50,50,17,13,4,6
13,2025-11-23,Toulouse,Angers SCO,0 - 1,1.7883000000000002,0.4839,0,0,0,0,6,2,54,46,25,6,11,1
14,2025-11-30,Angers SCO,Lens,1 - 2,0.9554,1.9379,0,0,0,0,5,6,45,55,7,17,2,8
14,2025-11-30,Le Havre,LOSC Lille,0 - 1,0.9532,1.1284,0,1,0,0,7,2,43,57,14,8,6,2
14,2025-11-30,Lorient,Nice,3 - 1,2.7385,0.8986,0,0,0,0,7,2,43,57,18,9,3,7
14,2025-11-28,Metz,Rennes,0 - 1,1.0891,1.0608,0,0,0,0,5,2,52,48,16,9,6,3
14,2025-11-29,Monaco,Paris Saint Germain,1 - 0,0.7935,1.151,1,0,0,0,5,4,43,57,10,17,4,4
14,2025-11-30,Olympique Lyonnais,Nantes,3 - 0,2.854,0.8654999999999999,0,1,0,0,8,2,72,28,20,6,7,0
14,2025-11-29,Olympique Marseille,Toulouse,2 - 2,1.3476000000000001,0.5960000000000001,0,0,0,0,5,4,77,23,20,6,9,1
14,2025-11-29,Paris,Auxerre,1 - 1,1.6157000000000001,1.4243,0,0,1,0,2,3,55,45,11,11,4,3
14,2025-11-30,Strasbourg,Brest,1 - 2,1.0069,1.2199,0,0,0,1,6,4,57,43,14,7,5,0
15,2025-12-07,Auxerre,Metz,3 - 1,1.9392,0.596,0,0,1,0,7,3,39,61,14,5,5,3
15,2025-12-05,Brest,Monaco,1 - 0,0.7652,0.8189000000000001,1,0,0,0,4,2,40,60,12,10,2,3
15,2025-12-05,LOSC Lille,Olympique Marseille,1 - 0,0.4582,0.5996,0,0,0,0,2,2,42,58,5,6,2,5
15,2025-12-07,Le Havre,Paris,0 - 0,1.8584999999999998,1.2412,0,0,1,0,2,2,44,56,13,13,7,2
15,2025-12-07,Lorient,Olympique Lyonnais,1 - 0,1.7952,0.6653,0,1,0,0,6,4,40,60,14,7,1,7
15,2025-12-06,Nantes,Lens,1 - 2,1.6731,2.7952000000000004,0,0,1,0,4,6,34,66,10,20,1,12
15,2025-12-07,Nice,Angers SCO,0 - 1,1.0908,0.7232000000000001,1,0,0,0,3,4,50,50,13,8,4,1
15,2025-12-06,Paris Saint Germain,Rennes,5 - 0,2.4815,0.2031,0,1,0,0,9,2,66,34,20,6,8,6
15,2025-12-06,Toulouse,Strasbourg,1 - 0,0.5255,0.10880000000000001,0,0,0,0,3,0,28,72,6,3,1,2
16,2025-12-12,Angers SCO,Nantes,4 - 1,2.678,0.376,0,0,1,0,9,4,54,46,20,7,6,3
16,2025-12-14,Auxerre,LOSC Lille,3 - 4,2.7305,0.7964,2,2,1,0,8,5,45,55,18,8,10,3
16,2025-12-14,Lens,Nice,2 - 0,1.9161000000000001,1.0957,0,0,0,0,5,4,46,54,15,8,2,5
16,2025-12-13,Metz,Paris Saint Germain,2 - 3,0.6871,1.555,0,0,0,0,5,9,41,59,9,14,4,4
16,2025-12-14,Olympique Lyonnais,Le Havre,1 - 0,4.8793,2.8204000000000002,0,0,0,1,4,4,57,43,18,10,5,4
16,2025-12-14,Olympique Marseille,Monaco,1 - 0,1.814,1.8061,0,0,0,0,8,7,58,42,18,18,3,7
16,2025-12-13,Paris,Toulouse,0 - 3,0.8664000000000001,2.1397,0,0,0,1,2,4,65,35,9,7,7,4
16,2025-12-13,Rennes,Brest,3 - 1,1.2409,0.8433,0,0,0,0,5,7,61,39,9,14,5,7
16,2025-12-14,Strasbourg,Lorient,0 - 0,0.8084,0.4951,0,0,0,0,2,2,63,37,12,9,11,3
17,2026-01-04,Brest,Auxerre,2 - 0,1.7936,1.34,0,0,0,0,4,1,50,50,11,10,7,6
17,2026-01-03,LOSC Lille,Rennes,0 - 2,1.1301999999999999,1.8593,1,0,0,0,3,4,39,61,13,18,4,7
17,2026-01-04,Le Havre,Angers SCO,2 - 1,1.384,0.7454,0,0,0,0,6,3,50,50,11,9,6,6
17,2026-01-04,Lorient,Metz,1 - 1,1.2746,0.48169999999999996,0,0,0,0,5,2,43,57,16,8,4,4
17,2026-01-03,Monaco,Olympique Lyonnais,1 - 3,0.54,1.4295,1,0,0,0,2,9,45,55,6,13,7,2
17,2026-01-03,Nice,Strasbourg,1 - 1,1.9320999999999997,1.2205,0,0,0,1,6,5,45,55,19,8,5,7
17,2026-01-04,Olympique Marseille,Nantes,0 - 2,0.6811,2.7603,2,0,0,1,4,9,56,44,11,15,6,3
17,2026-01-04,Paris Saint Germain,Paris,2 - 1,1.7397,1.0058,0,0,0,1,6,3,70,30,20,6,7,1
17,2026-01-02,Toulouse,Lens,0 - 3,0.9233,1.9139000000000002,1,0,0,0,2,7,32,68,8,16,2,8
18,2026-01-17,Angers SCO,Olympique Marseille,2 - 5,0.9566,2.3456,0,0,0,0,3,11,34,66,7,23,6,2
18,2026-01-17,Lens,Auxerre,1 - 0,2.3186999999999998,0.516,0,0,0,0,7,0,48,52,19,5,1,5
18,2026-01-16,Monaco,Lorient,1 - 3,1.208,1.0745,0,0,0,0,7,4,62,38,14,14,4,3
18,2026-01-18,Nantes,Paris,1 - 2,0.35869999999999996,0.5780000000000001,0,0,0,0,1,3,48,52,5,10,1,2
18,2026-01-18,Olympique Lyonnais,Brest,2 - 1,1.7039,0.4624,0,1,0,0,6,2,71,29,19,5,5,0
18,2026-01-16,Paris Saint Germain,LOSC Lille,3 - 0,1.1292000000000002,0.8561,0,0,0,0,7,4,61,39,13,7,4,2
18,2026-01-18,Rennes,Le Havre,1 - 1,2.1754,0.43229999999999996,0,0,0,0,7,4,54,46,19,7,10,6
18,2026-01-18,Strasbourg,Metz,2 - 1,0.8681,1.1088,0,0,0,1,6,2,47,53,14,9,4,1
18,2026-01-17,Toulouse,Nice,5 - 1,2.3215,2.2077999999999998,0,0,0,0,10,6,43,57,22,15,6,7
19,2026-01-23,Auxerre,Paris Saint Germain,0 - 1,0.5075000000000001,1.4932,0,0,0,0,0,8,31,69,8,16,2,7
19,2026-01-25,Brest,Toulouse,0 - 2,0.9024,0.4256,0,0,0,0,5,5,55,45,13,8,3,2
19,2026-01-25,LOSC Lille,Strasbourg,1 - 4,1.9573,3.0039999999999996,0,0,0,0,6,6,47,53,20,15,8,1
19,2026-01-24,Le Havre,Monaco,0 - 0,0.2388,0.6391,0,0,0,0,1,2,47,53,7,10,5,6
19,2026-01-25,Metz,Olympique Lyonnais,2 - 5,1.2739,2.4457,0,0,0,1,6,10,53,47,15,13,6,4
19,2026-01-25,Nantes,Nice,1 - 4,1.6991,1.2132,0,0,0,0,5,4,56,44,20,7,4,2
19,2026-01-24,Olympique Marseille,Lens,3 - 1,0.9109999999999999,0.4871,0,0,0,0,5,2,54,46,10,7,2,2
19,2026-01-25,Paris,Angers SCO,0 - 0,0.8144,0.7444000000000001,0,0,0,0,1,1,63,37,8,7,2,1
19,2026-01-24,Rennes,Lorient,0 - 2,2.3152,1.2047,0,0,0,0,5,4,69,31,22,6,9,3
20,2026-02-01,Angers SCO,Metz,1 - 0,1.4062,0.5282,0,1,0,0,7,0,67,33,17,5,4,3
20,2026-01-30,Lens,Le Havre,1 - 0,2.0683000000000002,0.5443,0,0,0,0,3,2,54,46,15,8,4,3
20,2026-01-31,Lorient,Nantes,2 - 1,0.6222,0.898,0,0,0,0,4,2,57,43,5,10,1,4
20,2026-01-31,Monaco,Rennes,4 - 0,1.921,0.7414,0,0,0,0,6,4,46,54,14,8,5,2
20,2026-02-01,Nice,Brest,2 - 2,1.0983,1.6471,0,0,0,1,7,2,60,40,15,12,6,5
20,2026-02-01,Olympique Lyonnais,LOSC Lille,1 - 0,0.3883,0.6409,0,0,0,0,2,4,42,58,3,11,2,7
20,2026-01-31,Paris,Olympique Marseille,2 - 2,1.4022,2.6100000000000003,0,0,1,1,4,4,52,48,9,18,4,4
20,2026-02-01,Strasbourg,Paris Saint Germain,1 - 2,2.0857,1.1067,0,1,1,0,4,4,32,68,9,13,5,6
20,2026-02-01,Toulouse,Auxerre,0 - 0,0.7847,0.8529,0,0,0,0,4,2,50,50,12,8,5,4
21,2026-02-08,Angers SCO,Toulouse,1 - 0,1.1219999999999999,0.6624000000000001,0,0,0,0,4,5,51,49,12,12,3,5
21,2026-02-08,Auxerre,Paris,0 - 0,0.9027999999999999,1.0193,0,0,0,0,2,4,49,51,12,7,7,4
21,2026-02-07,Brest,Lorient,2 - 0,2.0013,0.6916,0,0,0,0,5,2,42,58,12,13,7,7
21,2026-02-08,Le Havre,Strasbourg,2 - 1,0.9937,0.4758,0,1,0,0,7,3,51,49,15,10,9,3
21,2026-02-07,Lens,Rennes,3 - 1,1.2834,1.1847,1,0,0,0,3,1,51,49,9,14,4,4
21,2026-02-06,Metz,LOSC Lille,0 - 0,0.522,1.9441,0,0,0,0,2,2,42,58,6,16,1,6
21,2026-02-07,Nantes,Olympique Lyonnais,0 - 1,1.038,1.1697,0,1,0,0,2,3,54,46,13,10,5,4
21,2026-02-08,Nice,Monaco,0 - 0,0.7789,1.1907,0,0,0,0,4,2,44,56,13,10,8,6
21,2026-02-08,Paris Saint Germain,Olympique Marseille,5 - 0,3.0313999999999997,0.8397,0,0,0,0,7,3,58,42,22,9,5,2
22,2026-02-14,LOSC Lille,Brest,1 - 1,1.8909,0.921,0,0,0,0,5,4,69,31,20,11,13,1
22,2026-02-15,Le Havre,Toulouse,2 - 1,0.5466,2.2935,1,0,0,0,2,9,33,67,5,25,1,10
22,2026-02-15,Lorient,Angers SCO,2 - 0,1.2788,0.7676,0,0,0,0,2,3,59,41,8,10,3,2
22,2026-02-15,Metz,Auxerre,1 - 3,0.8931,1.2608,0,0,0,0,4,3,62,38,13,14,4,3
22,2026-02-13,Monaco,Nantes,3 - 1,1.8145,1.266,1,0,0,0,6,2,47,53,12,13,9,3
22,2026-02-15,Olympique Lyonnais,Nice,2 - 0,1.3086,1.4384,0,0,0,0,2,3,57,43,9,10,8,5
22,2026-02-14,Olympique Marseille,Strasbourg,2 - 2,1.0868,1.7145,0,0,0,1,6,4,44,56,10,12,5,5
22,2026-02-14,Paris,Lens,0 - 5,0.6295,4.0008,0,0,0,1,6,6,58,42,11,17,3,5
22,2026-02-13,Rennes,Paris Saint Germain,3 - 1,1.5864,3.6714,0,0,0,0,4,7,33,67,13,22,5,8
23,2026-02-22,Angers SCO,LOSC Lille,0 - 1,0.5034,2.1898999999999997,0,0,0,1,2,5,45,55,5,14,1,7
23,2026-02-22,Auxerre,Rennes,0 - 3,0.7948,1.112,0,0,0,0,2,7,43,57,11,12,4,5
23,2026-02-20,Brest,Olympique Marseille,2 - 0,0.8325,1.6672,0,0,0,1,4,4,32,68,12,17,3,2
23,2026-02-21,Lens,Monaco,2 - 3,1.6663000000000001,1.4552,0,0,0,0,7,5,52,48,18,10,7,2
23,2026-02-22,Nantes,Le Havre,2 - 0,1.5055999999999998,0.7695000000000001,0,0,1,0,2,1,29,71,9,6,5,6
23,2026-02-22,Nice,Lorient,3 - 3,2.1263,2.518,0,0,0,1,4,5,39,61,8,17,3,7
23,2026-02-21,Paris Saint Germain,Metz,3 - 0,2.0763,0.1062,0,0,0,0,7,0,67,33,17,3,4,1
23,2026-02-22,Strasbourg,Olympique Lyonnais,3 - 1,2.0263,0.4584,0,0,1,0,7,2,50,50,13,4,4,2
23,2026-02-21,Toulouse,Paris,1 - 1,2.6515999999999993,0.5853999999999999,0,0,0,0,10,2,55,45,23,5,12,3
24,2026-03-01,LOSC Lille,Nantes,1 - 0,0.8516999999999999,0.2505,0,0,0,0,3,1,73,27,9,3,4,1
24,2026-02-28,Le Havre,Paris Saint Germain,0 - 1,0.6859,3.3013,0,0,0,1,2,9,32,68,10,22,3,3
24,2026-03-01,Lorient,Auxerre,2 - 2,1.2056,1.1896,0,0,0,0,5,3,50,50,15,10,3,7
24,2026-03-01,Metz,Brest,0 - 1,1.2291,0.8177,0,1,0,0,6,1,66,34,24,6,12,4
24,2026-02-28,Monaco,Angers SCO,2 - 0,1.8617000000000001,0.6275,0,0,0,0,4,2,72,28,10,6,5,2
24,2026-03-01,Olympique Marseille,Olympique Lyonnais,3 - 2,2.046,1.2971,0,0,0,0,7,6,52,48,18,12,8,1
24,2026-03-01,Paris,Nice,1 - 0,1.2007,1.1013,1,0,0,0,6,3,40,60,16,11,8,6
24,2026-02-28,Rennes,Toulouse,1 - 0,0.8011,0.6527000000000001,0,0,0,0,2,2,65,35,10,9,6,1
24,2026-02-27,Strasbourg,Lens,1 - 1,0.5233,1.8094,0,0,0,0,5,5,55,45,8,25,2,8
25,2026-03-07,Auxerre,Strasbourg,0 - 0,1.262,1.3693999999999997,0,0,0,0,4,5,28,72,10,13,5,4
25,2026-03-08,Brest,Le Havre,2 - 0,1.6076,1.2177,0,0,0,0,2,0,41,59,11,14,1,3
