hafta,tarih,ev_sahibi,deplasman,skor_ev,skor_dep,xg_ev,xg_dep
1,2025-08-08,Gaziantep FK,Galatasaray,0,3,,
1,2025-08-09,Samsunspor,Gençlerbirliği,2,1,,
1,2025-08-09,Antalyaspor,Kasımpaşa,2,1,,
1,2025-08-10,Rizespor,Göztepe,0,3,,
1,2025-08-10,Eyüpspor,Konyaspor,1,4,,
1,2025-08-11,Trabzonspor,Kocaelispor,1,0,,
1,2025-09-17,Fatih Karagümrük,Başakşehir,0,2,,
1,2025-09-17,Fenerbahçe,Alanyaspor,2,2,,
1,2025-09-24,Kayserispor,Beşiktaş,0,4,,
2,2025-08-15,Galatasaray,Fatih Karagümrük,3,0,,
2,2025-08-16,Kocaelispor,Samsunspor,0,1,,
2,2025-08-16,Alanyaspor,Rizespor,0,0,,
2,2025-08-16,Göztepe,Fenerbahçe,0,0,,
2,2025-08-17,Gençlerbirliği,Antalyaspor,0,1,,
2,2025-08-17,Konyaspor,Gaziantep FK,3,0,,
2,2025-08-17,Beşiktaş,Eyüpspor,2,1,,
2,2025-08-17,Başakşehir,Kayserispor,1,1,,
2,2025-08-18,Kasımpaşa,Trabzonspor,0,1,,
3,2025-08-22,Fatih Karagümrük,Göztepe,0,2,,
3,2025-08-23,Fenerbahçe,Kocaelispor,3,1,,
3,2025-08-23,Gaziantep FK,Gençlerbirliği,2,1,,
3,2025-08-24,Trabzonspor,Antalyaspor,1,0,,
3,2025-08-24,Kayserispor,Galatasaray,0,4,,
3,2025-08-25,Eyüpspor,Alanyaspor,2,1,,
3,2025-09-17,Samsunspor,Kasımpaşa,0,0,,
3,2025-10-22,Konyaspor,Beşiktaş,0,2,,
3,2025-10-22,Rizespor,Başakşehir,0,0,,
4,2025-08-29,Göztepe,Konyaspor,1,1,,
4,2025-08-30,Kasımpaşa,Gaziantep FK,2,3,,
4,2025-08-30,Kocaelispor,Kayserispor,1,1,,
4,2025-08-30,Antalyaspor,Fatih Karagümrük,1,2,,
4,2025-08-30,Galatasaray,Rizespor,3,1,,
4,2025-08-31,Gençlerbirliği,Fenerbahçe,1,3,,
4,2025-08-31,Başakşehir,Eyüpspor,0,0,,
4,2025-08-31,Alanyaspor,Beşiktaş,2,0,,
4,2025-08-31,Trabzonspor,Samsunspor,1,1,,
5,2025-09-13,Eyüpspor,Galatasaray,0,2,,
5,2025-09-13,Fatih Karagümrük,Kasımpaşa,0,1,,
5,2025-09-13,Samsunspor,Antalyaspor,1,2,,
5,2025-09-13,Beşiktaş,Başakşehir,2,1,,
5,2025-09-13,Konyaspor,Alanyaspor,1,2,,
5,2025-09-14,Kayserispor,Göztepe,1,1,,
5,2025-09-14,Fenerbahçe,Trabzonspor,1,0,,
5,2025-09-14,Gaziantep FK,Kocaelispor,2,0,,
5,2025-09-15,Rizespor,Gençlerbirliği,1,0,,
6,2025-09-19,Göztepe,Beşiktaş,3,0,,
6,2025-09-20,Gençlerbirliği,Eyüpspor,1,0,,
6,2025-09-20,Antalyaspor,Kayserispor,1,1,,
6,2025-09-20,Trabzonspor,Gaziantep FK,1,1,,
6,2025-09-21,Başakşehir,Alanyaspor,1,1,,
6,2025-09-21,Kocaelispor,Rizespor,1,1,,
6,2025-09-21,Kasımpaşa,Fenerbahçe,1,1,,
6,2025-09-21,Samsunspor,Fatih Karagümrük,3,2,,
6,2025-09-22,Galatasaray,Konyaspor,3,1,,
7,2025-09-26,Alanyaspor,Galatasaray,0,1,,
7,2025-09-27,Eyüpspor,Göztepe,0,0,,
7,2025-09-27,Gaziantep FK,Samsunspor,2,2,,
7,2025-09-27,Fatih Karagümrük,Trabzonspor,3,4,,
7,2025-09-28,Konyaspor,Başakşehir,2,1,,
7,2025-09-28,Rizespor,Kasımpaşa,1,2,,
7,2025-09-28,Fenerbahçe,Antalyaspor,2,0,,
7,2025-09-28,Kayserispor,Gençlerbirliği,1,1,,
7,2025-09-29,Beşiktaş,Kocaelispor,3,1,,
8,2025-10-03,Antalyaspor,Rizespor,2,5,,
8,2025-10-03,Trabzonspor,Kayserispor,4,0,,
8,2025-10-04,Gençlerbirliği,Alanyaspor,2,2,,
8,2025-10-04,Kocaelispor,Eyüpspor,1,0,,
8,2025-10-04,Galatasaray,Beşiktaş,1,1,,
8,2025-10-05,Kasımpaşa,Konyaspor,1,1,,
