Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
4,2025-09-14,Rennes,Olympique Lyonnais,3 - 1,2.4586,1.2231,0,0,0,0,5,0,48,0,23,0,5,0,0.0,0.0,0.0,12.0,0.0,10.0
4,2025-09-14,Strasbourg,Le Havre,1 - 0,1.3414,0.7201,1,0,1,0,7,0,49,0,9,0,4,0,28.0,25.0,16.0,0.0,0.0,0.0
5,2025-09-21,Auxerre,Toulouse,1 - 0,0.5790000000000001,2.3045,1,0,0,0,1,0,40,0,6,0,3,0,3.5,5.0,1.8,0.0,1.5,15.0
5,2025-09-20,Brest,Nice,4 - 1,1.6736999999999995,2.1269,0,0,0,0,5,0,38,0,11,0,2,0,3.5,3.0,2.0,0.0,11.5,3.8
5,2025-09-21,Le Havre,Lorient,1 - 1,2.7608,0.9749,0,0,0,0,2,0,60,0,13,0,6,0,0.0,2.5,0.0,0.5,8.7,2.25
5,2025-09-20,Lens,LOSC Lille,3 - 0,2.5485,1.8955,0,0,0,0,6,0,38,0,15,0,4,0,0.0,0.0,0.0,0.0,20.4,4.0
5,2025-09-21,Monaco,Metz,5 - 2,2.8952,1.7827000000000002,0,0,0,0,6,0,43,0,16,0,4,0,0.0,16.8,46.0,0.0,5.0,0.0
5,2025-09-20,Nantes,Rennes,2 - 2,1.93,1.3191000000000002,0,0,1,0,4,0,43,0,16,0,4,0,8.0,1.2,0.0,0.0,17.0,0.0
5,2025-09-19,Olympique Lyonnais,Angers SCO,1 - 0,1.7044,1.4461,0,0,0,0,5,0,67,0,16,0,7,0,12.0,12.0,35.0,0.0,0.0,0.0
5,2025-09-22,Olympique Marseille,Paris Saint Germain,1 - 0,1.1697,0.6563,0,0,0,0,1,0,32,0,9,0,5,0,0.0,0.0,4.0,260.0,0.0,110.0
5,2025-09-21,Paris,Strasbourg,2 - 3,1.7208,1.9645,0,0,0,0,6,0,61,0,18,0,4,0,0.4,10.0,0.0,0.0,15.0,0.0
6,2025-09-28,Angers SCO,Brest,0 - 2,0.8307,1.1939,0,0,0,0,2,0,57,0,11,0,11,0,0.0,3.5,0.0,3.5,0.0,2.0
6,2025-09-28,LOSC Lille,Olympique Lyonnais,0 - 1,1.6436,0.5155000000000001,0,0,0,0,3,0,54,0,14,0,3,0,0.0,37.4,4.0,12.0,12.0,10.0
6,2025-09-27,Lorient,Monaco,3 - 1,2.5389,1.1024,0,0,0,0,8,0,47,0,19,0,2,0,0.5,8.7,2.0,0.0,1.8,43.0
6,2025-09-28,Metz,Le Havre,0 - 0,0.5862999999999999,0.3961,0,0,0,0,0,0,53,0,7,0,4,0,0.0,5.0,0.3,0.0,8.0,5.0
6,2025-09-28,Nice,Paris,1 - 1,0.8741,2.0959000000000003,0,0,0,0,5,0,44,0,11,0,5,0,0.0,11.5,5.3,0.4,0.2,0.0
6,2025-09-27,Paris Saint Germain,Auxerre,2 - 0,1.446,0.7332000000000001,0,0,0,0,8,0,66,0,15,0,5,0,190.0,30.5,110.0,0.0,5.8,1.8
6,2025-09-28,Rennes,Lens,0 - 0,1.2574999999999998,1.3441999999999998,0,0,0,0,2,0,67,0,14,0,8,0,0.0,10.0,2.5,1.0,0.0,1.0
6,2025-09-26,Strasbourg,Olympique Marseille,1 - 2,1.0532,1.7446000000000002,0,0,0,0,1,0,40,0,9,0,5,0,0.0,0.0,16.0,0.0,0.0,4.0
6,2025-09-27,Toulouse,Nantes,2 - 2,2.2663,1.4473,0,0,1,0,7,0,46,0,20,0,1,0,0.0,1.5,15.0,0.0,0.0,0.8
7,2025-10-04,Auxerre,Lens,1 - 2,1.5542,0.6134,0,0,0,0,2,0,57,0,18,0,2,0,0.9,5.0,1.8,1.0,3.0,1.0
7,2025-10-04,Brest,Nantes,0 - 0,1.428,0.354,0,0,0,0,5,0,51,0,17,0,12,0,13.5,0.0,2.0,0.0,25.0,7.8
7,2025-10-05,LOSC Lille,Paris Saint Germain,1 - 1,0.8641000000000001,1.4222,0,0,0,0,3,0,38,0,9,0,3,0,0.0,21.6,0.0,280.0,30.0,150.0
7,2025-10-05,Le Havre,Rennes,2 - 2,1.7349,0.8729,0,0,1,0,2,0,43,0,10,0,3,0,0.8,0.0,1.5,0.0,10.0,2.5
7,2025-10-04,Metz,Olympique Marseille,0 - 3,0.1906,2.7352,0,0,0,0,1,0,38,0,4,0,4,0,0.0,1.1,0.3,0.0,18.0,4.0
7,2025-10-05,Monaco,Nice,2 - 2,3.3168,1.1956000000000002,0,0,2,0,6,0,66,0,20,0,6,0,0.0,16.8,43.0,0.0,11.0,3.0
7,2025-10-05,Olympique Lyonnais,Toulouse,1 - 2,1.0436,1.398,0,0,0,0,3,0,69,0,13,0,8,0,12.0,12.0,10.0,0.0,1.5,0.0
7,2025-10-03,Paris,Lorient,2 - 0,1.492,0.7176,0,0,0,0,2,0,59,0,10,0,1,0,1.6,0.2,2.0,0.5,2.7,2.25
