Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
4,2025-08-31,Tondela,Estoril,2 - 2,2.5566,1.8495,0,0,1,0,4,0,51,0,14,0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
4,2025-08-30,Vitória Guimarães,Arouca,1 - 1,0.5388,0.5073000000000001,0,0,0,0,3,0,54,0,12,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
5,2025-09-12,Alverca,Tondela,1 - 0,1.1601,2.3577000000000004,0,0,0,0,4,0,49,0,12,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
5,2025-09-14,Arouca,Casa Pia,0 - 2,0.7951,1.1199,0,0,0,0,3,0,66,0,9,0,7,0,0.0,0.0,0.0,0.3,0.0,0.0
5,2025-09-12,Benfica,Santa Clara,1 - 1,1.6414000000000002,0.8479999999999999,0,0,0,0,7,0,78,0,19,0,4,0,25.0,0.0,0.0,0.0,0.4,0.0
5,2025-09-13,Estoril,AVS,3 - 1,2.2257,0.8859,0,0,0,0,5,0,50,0,15,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0
5,2025-09-14,Estrela Amadora,Vitória Guimarães,0 - 2,0.4852999999999999,1.4854999999999998,0,0,0,0,1,0,60,0,10,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
5,2025-09-13,Famalicão,Sporting CP,1 - 2,0.8037,1.1901,0,0,0,0,3,0,43,0,9,0,5,0,4.0,0.0,0.0,0.0,0.0,0.0
5,2025-09-13,Moreirense,Rio Ave,3 - 1,1.9428,1.2567,0,0,0,0,8,0,54,0,15,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
5,2025-09-13,Porto,Nacional,1 - 0,1.9757,0.1193,0,0,1,0,5,0,69,0,11,0,5,0,0.0,27.0,0.0,0.0,0.0,0.4
5,2025-09-14,Sporting Braga,Gil Vicente,0 - 1,1.74,1.0652,0,0,0,0,6,0,64,0,11,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
6,2025-09-20,AVS,Benfica,0 - 3,0.7751,2.5144,0,0,0,0,1,0,37,0,8,0,2,0,0.0,0.0,0.0,25.0,0.0,0.0
6,2025-09-21,Casa Pia,Famalicão,1 - 1,1.1305999999999998,1.9265,0,0,1,0,3,0,53,0,10,0,5,0,0.3,0.0,0.0,4.0,0.0,0.0
6,2025-09-21,Gil Vicente,Estoril,2 - 0,2.6823,0.5816,0,0,1,0,3,0,51,0,16,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0
